model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
baseline_NLL,univ,1,862,179,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,1,862,183,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,1,862,184,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,1,862,187,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,1,862,362,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,1,862,363,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
baseline_NLL,univ,2,902,198,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,2,902,202,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,2,902,204,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,2,902,291,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,2,902,362,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,2,902,363,4770,4840,4850,4960,4770;4780;4790;4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960,6,5,1
baseline_NLL,univ,3,905,198,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,univ,3,905,203,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,univ,3,905,204,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,univ,3,905,291,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,univ,3,905,362,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,univ,3,905,363,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,3,1
baseline_NLL,zara2,1,14,1,150,220,230,340,150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340,2,2,1
baseline_NLL,zara2,1,14,2,150,220,230,340,150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340,2,2,1
baseline_NLL,zara2,2,19,7,400,470,480,590,400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590,4,5,1
baseline_NLL,zara2,2,19,8,400,470,480,590,400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590,4,5,1
baseline_NLL,zara2,2,19,9,400,470,480,590,400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590,4,5,1
baseline_NLL,zara2,2,19,10,400,470,480,590,400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590,4,5,1
baseline_NLL,zara2,3,21,7,420,490,500,610,420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610,4,4,1
baseline_NLL,zara2,3,21,8,420,490,500,610,420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610,4,4,1
baseline_NLL,zara2,3,21,9,420,490,500,610,420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610,4,4,1
baseline_NLL,zara2,3,21,10,420,490,500,610,420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610,4,4,1
