Model,Dataset,Checkpoint,ADE,FDE,ColRate_avg,ColRate_minADE
LSTM,eth,val_best,0.7175968126217247,1.2268657217204568,0.08571428571428573,0.1
LSTM,eth,final,0.7856082399497851,1.4285932347402455,0.09714285714285716,0.1
GAT,eth,val_best,0.7850516109542207,1.3206641410441282,0.07499999999999998,0.014285714285714285
GAT,eth,final,0.7979088484757382,1.3254781678095824,0.054285714285714284,0.04285714285714286
LSTM,hotel,val_best,0.8632799898286215,1.5754763731185573,0.16378737541528238,0.18272425249169436
LSTM,hotel,final,0.8818124875125636,1.63031708730882,0.1601328903654485,0.17275747508305647
GAT,hotel,val_best,0.45665228230308597,0.887878098582792,0.14119601328903655,0.13953488372093023
GAT,hotel,final,0.4532945372742703,0.8739820170608837,0.1403654485049834,0.1362126245847176
LSTM,univ,val_best,0.4925812334817229,0.8364877145150268,0.9050686378035901,0.9017951425554382
LSTM,univ,final,0.6374669382461975,1.2768976588532222,0.9021119324181626,0.9017951425554382
GAT,univ,val_best,0.430540364388164,0.789355037218931,0.8675818373812039,0.8753959873284055
GAT,univ,final,0.41775961122695865,0.7468625814051928,0.8776135163674762,0.8722280887011615
LSTM,zara1,val_best,0.36923120163169715,0.5707000326715993,0.18488372093023256,0.1760797342192691
LSTM,zara1,final,0.771990196883254,1.6220191893313125,0.19352159468438537,0.2026578073089701
GAT,zara1,val_best,0.30605185809120866,0.5170374173819731,0.12782392026578074,0.09634551495016612
GAT,zara1,final,0.36794986204830704,0.6705315319814623,0.1418604651162791,0.11960132890365449
LSTM,zara2,val_best,0.32122481977098255,0.4402054693530362,0.5301845819761128,0.5450597176981542
LSTM,zara2,final,0.3211702872290963,0.44150557177848426,0.5274701411509228,0.5363735070575462
GAT,zara2,val_best,0.2829700835394566,0.4478650152288507,0.43496199782844736,0.4180238870792617
GAT,zara2,final,0.2893375824074135,0.46076435697341867,0.4494028230184583,0.4364820846905538
