model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
exp,univ,1,865,179,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,8,1
exp,univ,1,865,187,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,8,1
exp,univ,1,865,362,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,8,1
exp,univ,1,865,363,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,8,1
exp,univ,2,866,179,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,6,1
exp,univ,2,866,362,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,6,1
exp,univ,2,866,363,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,6,1
exp,univ,3,862,179,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,univ,3,862,183,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,univ,3,862,184,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,univ,3,862,187,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,univ,3,862,362,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,univ,3,862,363,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,9,0
exp,zara2,1,8,1,90,160,170,280,90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280,3,3,1
exp,zara2,1,8,2,90,160,170,280,90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280,3,3,1
exp,zara2,1,8,3,90,160,170,280,90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280,3,3,1
exp,zara2,2,29,8,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,2,29,9,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,2,29,10,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,2,29,11,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,2,29,12,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,2,29,13,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,3,1
exp,zara2,3,33,10,540,610,620,730,540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730,5,6,1
exp,zara2,3,33,11,540,610,620,730,540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730,5,6,1
exp,zara2,3,33,12,540,610,620,730,540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730,5,6,1
exp,zara2,3,33,13,540,610,620,730,540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730,5,6,1
exp,zara2,3,33,14,540,610,620,730,540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730,5,6,1
