model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
exp,univ,1,864,179,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,6,1
exp,univ,1,864,187,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,6,1
exp,univ,1,864,362,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,6,1
exp,univ,1,864,363,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,6,1
exp,univ,2,865,179,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,5,1
exp,univ,2,865,187,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,5,1
exp,univ,2,865,362,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,5,1
exp,univ,2,865,363,4400,4470,4480,4590,4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590,4,5,1
exp,univ,3,867,179,4420,4490,4500,4610,4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610,4,8,1
exp,univ,3,867,189,4420,4490,4500,4610,4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610,4,8,1
exp,univ,3,867,362,4420,4490,4500,4610,4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610,4,8,1
exp,univ,3,867,363,4420,4490,4500,4610,4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610,4,8,1
exp,zara2,1,30,8,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,1,30,9,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,1,30,10,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,1,30,11,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,1,30,12,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,1,30,13,510,580,590,700,510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700,6,9,1
exp,zara2,2,38,10,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,7,1
exp,zara2,2,38,14,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,7,1
exp,zara2,2,38,15,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,7,1
exp,zara2,2,38,16,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,7,1
exp,zara2,3,43,15,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,11,1
exp,zara2,3,43,16,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,11,1
exp,zara2,3,43,17,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,11,1
exp,zara2,3,43,18,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,11,1
