Model,ADE,FDE,ColRate_avg,ColRate_minADE,Checkpoint,loss_fn,d_min,lambda_col,ΔADE,ΔFDE,ΔColRate
Baseline,0.3061896048517151,0.49760519344207077,0.42622149837133577,0.40499457111834963,val_best,,,,0.0,0.0,0.0
HINGE d=0.2 lam=1 [best NLL],0.30765681151997404,0.50667871986694,0.4207383279044515,0.3919652551574376,best NLL,hinge,0.2,1.0,0.0014672066682589469,0.00907352642486925,-0.005483170466884291
HINGE d=0.2 lam=1 [final ep],0.29403407385470376,0.4547534401739756,0.41406080347448426,0.40716612377850164,final ep,hinge,0.2,1.0,-0.012155530997011332,-0.04285175326809515,-0.01216069489685151
HINGE d=0.2 lam=5 [best NLL],0.31062830696912597,0.5108789431005462,0.4212269272529858,0.3995656894679696,best NLL,hinge,0.2,5.0,0.004438702117410875,0.013273749658475387,-0.004994571118349944
HINGE d=0.2 lam=5 [final ep],0.2966650133312275,0.4576466968387404,0.40640608034744874,0.38436482084690554,final ep,hinge,0.2,5.0,-0.009524591520487569,-0.039958496603330396,-0.019815418023887033
HINGE d=0.5 lam=1 [best NLL],0.3066944127046809,0.5083789835351273,0.41786102062975045,0.38979370249728557,best NLL,hinge,0.5,1.0,0.0005048078529658051,0.010773790093056568,-0.008360477741585326
HINGE d=0.5 lam=1 [final ep],0.30970483840055285,0.510118750280864,0.4185124864277961,0.36807817589576547,final ep,hinge,0.5,1.0,0.0035152335488377595,0.012513556838793183,-0.007709011943539679
HINGE d=0.5 lam=5 [best NLL],0.29972696160678336,0.4885685332672115,0.3811074918566774,0.33984799131378934,best NLL,hinge,0.5,5.0,-0.006462643244931732,-0.009036660174859268,-0.045114006514658356
HINGE d=0.5 lam=5 [final ep],0.3198971715496154,0.5112404995944566,0.38963083604777393,0.3756786102062975,final ep,hinge,0.5,5.0,0.013707566697900297,0.01363530615238584,-0.03659066232356184
EXP d=0.2 lam=1 [best NLL],0.29966199379423736,0.4717481918369335,0.4258957654723124,0.4180238870792617,best NLL,exp,0.2,1.0,-0.0065276110574777335,-0.025857001605137264,-0.00032573289902337876
EXP d=0.2 lam=1 [final ep],0.3002601786844662,0.470485443623603,0.4220412595005426,0.40716612377850164,final ep,exp,0.2,1.0,-0.005929426167248897,-0.027119749818467764,-0.004180238870793163
EXP d=0.2 lam=5 [best NLL],0.29619843135564305,0.4797585679264269,0.40814332247557006,0.3973941368078176,best NLL,exp,0.2,5.0,-0.009991173496072037,-0.017846625515643866,-0.018078175895765713
EXP d=0.2 lam=5 [final ep],0.2981951336978501,0.46636209876004564,0.41335504885993507,0.38327904451682954,final ep,exp,0.2,5.0,-0.00799447115386498,-0.03124309468202513,-0.012866449511400702
EXP d=0.5 lam=1 [best NLL],0.32348715393497873,0.549295047548771,0.4042345276872966,0.3778501628664495,best NLL,exp,0.5,1.0,0.01729754908326364,0.05168985410670024,-0.021986970684039153
EXP d=0.5 lam=1 [final ep],0.32274091098835894,0.5168280683523905,0.38626492942453927,0.3973941368078176,final ep,exp,0.5,1.0,0.01655130613664385,0.01922287491031971,-0.0399565689467965
EXP d=0.5 lam=5 [best NLL],0.30676724960380386,0.5071819035843845,0.4061346362649289,0.3811074918566775,best NLL,exp,0.5,5.0,0.0005776447520887684,0.00957671014231376,-0.020086862106406866
EXP d=0.5 lam=5 [final ep],0.33792170158716667,0.5256735465761774,0.43072747014115087,0.41042345276872966,final ep,exp,0.5,5.0,0.031732096735451576,0.028068353134106605,0.004505971769815098
GAUSS d=0.2 lam=1 [best NLL],0.29598655522927897,0.47429773785234036,0.40841476655808917,0.4180238870792617,best NLL,gauss,0.2,1.0,-0.010203049622436122,-0.023307455589730408,-0.0178067318132466
GAUSS d=0.2 lam=1 [final ep],0.3027939915291238,0.47485685948327433,0.414657980456026,0.3919652551574376,final ep,gauss,0.2,1.0,-0.0033956133225913065,-0.02274833395879644,-0.011563517915309796
GAUSS d=0.2 lam=5 [best NLL],0.3003673949178414,0.48310363197594136,0.42366992399565734,0.38436482084690554,best NLL,gauss,0.2,5.0,-0.005822209933873668,-0.014501561466129409,-0.0025515743756784337
GAUSS d=0.2 lam=5 [final ep],0.3046320794562302,0.4785872016908543,0.4209554831704671,0.3811074918566775,final ep,gauss,0.2,5.0,-0.0015575253954848711,-0.01901799175121649,-0.005266015200868668
GAUSS d=0.5 lam=1 [best NLL],0.30839659403364666,0.5186814938108635,0.39923995656894645,0.38762214983713356,best NLL,gauss,0.5,1.0,0.0022069891819315735,0.02107630036879271,-0.02698154180238932
GAUSS d=0.5 lam=1 [final ep],0.31048417519859023,0.4934366472439265,0.40515743756786116,0.3691639522258415,final ep,gauss,0.5,1.0,0.004294570346875137,-0.004168546198144274,-0.021064060803474616
GAUSS d=0.5 lam=5 [best NLL],0.3262217384159118,0.5384951577097495,0.41416938110749174,0.3941368078175896,best NLL,gauss,0.5,5.0,0.020032133564196697,0.04088996426767877,-0.012052117263844031
GAUSS d=0.5 lam=5 [final ep],0.3271513498661299,0.5216990435218849,0.4207926167209553,0.3811074918566775,final ep,gauss,0.5,5.0,0.020961745014414834,0.024093850079814128,-0.005428881650380468
INV d=0.2 lam=1 [best NLL],0.30516388874662986,0.49773884294684945,0.3954940282301841,0.36807817589576547,best NLL,inv,0.2,1.0,-0.0010257161050852281,0.00013364950477867676,-0.03072747014115168
INV d=0.2 lam=1 [final ep],0.29877895548050615,0.4522212839400487,0.40027144408251936,0.3745928338762215,final ep,inv,0.2,1.0,-0.007410649371208944,-0.04538390950202209,-0.025950054288816415
INV d=0.2 lam=5 [best NLL],0.30936792513742045,0.4899960287191236,0.4153094462540719,0.3984799131378936,best NLL,inv,0.2,5.0,0.0031783202857053605,-0.007609164722947148,-0.01091205211726387
INV d=0.2 lam=5 [final ep],0.32481094702098406,0.48907446681448813,0.4134636264929422,0.38762214983713356,final ep,inv,0.2,5.0,0.018621342169268973,-0.008530726627582641,-0.012757871878393556
INV d=0.5 lam=1 [best NLL],0.30583241623114593,0.4944450984895555,0.43387622149837135,0.3811074918566775,best NLL,inv,0.5,1.0,-0.0003571886205691599,-0.003160094952515291,0.007654723127035579
INV d=0.5 lam=1 [final ep],0.3083035718282626,0.4920741234468396,0.4197611292073832,0.40499457111834963,final ep,inv,0.5,1.0,0.002113966976547532,-0.005531069995231175,-0.006460369163952595
INV d=0.5 lam=5 [best NLL],0.35993481273829464,0.5240760818557489,0.4663409337676437,0.44082519001085774,best NLL,inv,0.5,5.0,0.05374520788657955,0.026470888413678173,0.04011943539630791
INV d=0.5 lam=5 [final ep],0.4365492087985783,0.5994405350290435,0.45282301845819756,0.46796959826275786,final ep,inv,0.5,5.0,0.1303596039468632,0.10183534158697272,0.026601520086861785
ECP d=0.2 lam=1 [best NLL],0.30013817127152753,0.4712933113117244,0.41340933767643817,0.3811074918566775,best NLL,ecp,0.2,1.0,-0.00605143358018756,-0.026311882130346353,-0.0128121606948976
ECP d=0.2 lam=1 [final ep],0.30769953184260623,0.47141836612524035,0.41226927252985907,0.38870792616720956,final ep,ecp,0.2,1.0,0.0015099269908911417,-0.02618682731683042,-0.013952225841476706
ECP d=0.2 lam=5 [best NLL],0.3061117821885076,0.49316260720769384,0.40711183496199793,0.3919652551574376,best NLL,ecp,0.2,5.0,-7.782266320749409e-05,-0.004442586234376933,-0.01910966340933784
ECP d=0.2 lam=5 [final ep],0.2977096996318367,0.4574895616341829,0.40195439739413663,0.38436482084690554,final ep,ecp,0.2,5.0,-0.008479905219878403,-0.04011563180788785,-0.02426710097719914
ECP d=0.5 lam=1 [best NLL],0.30282893864762644,0.4970311844792564,0.40521172638436537,0.3756786102062975,best NLL,ecp,0.5,1.0,-0.003360666204088647,-0.000574008962814343,-0.021009771986970405
ECP d=0.5 lam=1 [final ep],0.30530906179941886,0.5070081915625408,0.3818132464712269,0.3496199782844734,final ep,ecp,0.5,1.0,-0.0008805430522962343,0.009402998120470074,-0.044408251900108886
ECP d=0.5 lam=5 [best NLL],0.3198889110898609,0.5126498407977881,0.41563517915309456,0.40499457111834963,best NLL,ecp,0.5,5.0,0.013699306238145803,0.015044647355717311,-0.010586319218241214
ECP d=0.5 lam=5 [final ep],0.3151737135883352,0.510269645626126,0.39777415852334397,0.3767643865363735,final ep,ecp,0.5,5.0,0.008984108736620089,0.012664452184055208,-0.028447339847991804
