model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
gauss,univ,1,863,179,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,1,863,183,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,1,863,184,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,1,863,187,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,1,863,362,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,1,863,363,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,8,1
gauss,univ,2,871,179,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,2,871,189,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,2,871,190,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,2,871,191,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,2,871,362,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,2,871,363,4460,4530,4540,4650,4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650,6,9,1
gauss,univ,3,872,179,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,univ,3,872,189,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,univ,3,872,190,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,univ,3,872,191,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,univ,3,872,362,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,univ,3,872,363,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,8,1
gauss,zara2,1,22,7,430,500,510,620,430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620,5,1,1
gauss,zara2,1,22,8,430,500,510,620,430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620,5,1,1
gauss,zara2,1,22,9,430,500,510,620,430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620,5,1,1
gauss,zara2,1,22,10,430,500,510,620,430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620,5,1,1
gauss,zara2,1,22,11,430,500,510,620,430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620,5,1,1
gauss,zara2,2,38,10,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,9,1
gauss,zara2,2,38,14,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,9,1
gauss,zara2,2,38,15,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,9,1
gauss,zara2,2,38,16,590,660,670,780,590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780,4,9,1
gauss,zara2,3,44,15,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,11,1
gauss,zara2,3,44,16,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,11,1
gauss,zara2,3,44,17,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,11,1
gauss,zara2,3,44,18,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,11,1
