model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
ecp,univ,1,862,179,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,1,862,183,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,1,862,184,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,1,862,187,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,1,862,362,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,1,862,363,4370,4440,4450,4560,4370;4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560,6,12,1
ecp,univ,2,866,179,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,11,1
ecp,univ,2,866,362,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,11,1
ecp,univ,2,866,363,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,11,1
ecp,univ,3,869,179,4440,4510,4520,4630,4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630,5,8,1
ecp,univ,3,869,189,4440,4510,4520,4630,4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630,5,8,1
ecp,univ,3,869,190,4440,4510,4520,4630,4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630,5,8,1
ecp,univ,3,869,362,4440,4510,4520,4630,4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630,5,8,1
ecp,univ,3,869,363,4440,4510,4520,4630,4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630,5,8,1
ecp,zara2,1,5,1,60,130,140,250,60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250,2,4,1
ecp,zara2,1,5,2,60,130,140,250,60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250,2,4,1
ecp,zara2,2,7,1,80,150,160,270,80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270,3,2,1
ecp,zara2,2,7,2,80,150,160,270,80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270,3,2,1
ecp,zara2,2,7,3,80,150,160,270,80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270,3,2,1
ecp,zara2,3,18,7,390,460,470,580,390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580,3,3,1
ecp,zara2,3,18,8,390,460,470,580,390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580,3,3,1
ecp,zara2,3,18,9,390,460,470,580,390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580,3,3,1
