model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
hinge,univ,1,863,179,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,1,863,183,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,1,863,184,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,1,863,187,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,1,863,362,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,1,863,363,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,12,1
hinge,univ,2,866,179,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,12,1
hinge,univ,2,866,362,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,12,1
hinge,univ,2,866,363,4410,4480,4490,4600,4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600,3,12,1
hinge,univ,3,870,179,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,univ,3,870,189,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,univ,3,870,190,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,univ,3,870,191,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,univ,3,870,362,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,univ,3,870,363,4450,4520,4530,4640,4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640,6,5,1
hinge,zara2,1,1,1,20,90,100,210,20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210,2,1,1
hinge,zara2,1,1,2,20,90,100,210,20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210,2,1,1
hinge,zara2,2,20,7,410,480,490,600,410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600,4,2,1
hinge,zara2,2,20,8,410,480,490,600,410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600,4,2,1
hinge,zara2,2,20,9,410,480,490,600,410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600,4,2,1
hinge,zara2,2,20,10,410,480,490,600,410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600,4,2,1
hinge,zara2,3,29,8,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
hinge,zara2,3,29,9,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
hinge,zara2,3,29,10,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
hinge,zara2,3,29,11,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
hinge,zara2,3,29,12,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
hinge,zara2,3,29,13,500,570,580,690,500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690,6,7,1
