model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
inv,univ,1,863,179,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,1,863,183,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,1,863,184,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,1,863,187,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,1,863,362,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,1,863,363,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,7,1
inv,univ,2,872,179,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,2,872,189,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,2,872,190,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,2,872,191,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,2,872,362,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,2,872,363,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,2,1
inv,univ,3,905,198,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,univ,3,905,203,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,univ,3,905,204,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,univ,3,905,291,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,univ,3,905,362,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,univ,3,905,363,4800,4870,4880,4990,4800;4810;4820;4830;4840;4850;4860;4870;4880;4890;4900;4910;4920;4930;4940;4950;4960;4970;4980;4990,6,2,1
inv,zara2,1,41,10,620,690,700,810,620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810,5,6,1
inv,zara2,1,41,14,620,690,700,810,620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810,5,6,1
inv,zara2,1,41,15,620,690,700,810,620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810,5,6,1
inv,zara2,1,41,16,620,690,700,810,620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810,5,6,1
inv,zara2,1,41,17,620,690,700,810,620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810,5,6,1
inv,zara2,2,43,15,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,16,1
inv,zara2,2,43,16,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,16,1
inv,zara2,2,43,17,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,16,1
inv,zara2,2,43,18,640,710,720,830,640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830,4,16,1
inv,zara2,3,44,15,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,16,1
inv,zara2,3,44,16,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,16,1
inv,zara2,3,44,17,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,16,1
inv,zara2,3,44,18,650,720,730,840,650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840,4,16,1
