Model,ADE,FDE,ColRate_avg,ColRate_minADE,Checkpoint,d_min,lambda_col,ΔADE,ΔFDE,ΔColRate
Baseline,0.304846665946058,0.49754118461609165,0.4291530944625411,0.4147665580890337,val_best,,,0.0,0.0,0.0
ECP d=0.2 lam=5 [best NLL],0.306162527688664,0.49900185126696395,0.42671009771986995,0.39087947882736157,best NLL,0.2,5.0,0.0013158617426059505,0.0014606666508722999,-0.002442996742671122
ECP d=0.2 lam=5 [final ep],0.31181277396188145,0.4988473325022253,0.40086862106406046,0.3995656894679696,final ep,0.2,5.0,0.0069661080158234245,0.0013061478861336462,-0.028284473398480614
ECP d=0.2 lam=10 [best NLL],0.307699500924522,0.5075404225173175,0.41596091205211716,0.4006514657980456,best NLL,0.2,10.0,0.0028528349784639473,0.00999923790122581,-0.013192182410423914
ECP d=0.2 lam=10 [final ep],0.3151671457920464,0.5018042841113932,0.4174809989142234,0.3800217155266015,final ep,0.2,10.0,0.010320479845988384,0.00426309949530157,-0.011672095548317662
ECP d=0.2 lam=20 [best NLL],0.31016961588234604,0.5110129889047215,0.408089033659066,0.3474484256243214,best NLL,0.2,20.0,0.005322949936288013,0.013471804288629818,-0.02106406080347506
ECP d=0.2 lam=20 [final ep],0.31147833148410375,0.4995955355781231,0.4355591748099893,0.41042345276872966,final ep,0.2,20.0,0.006631665538045728,0.002054350962031437,0.0064060803474482175
ECP d=0.5 lam=5 [best NLL],0.31697038082281576,0.5266991546362443,0.43023887079261686,0.4006514657980456,best NLL,0.5,5.0,0.01212371487675773,0.029157970020152635,0.0010857763300757828
ECP d=0.5 lam=5 [final ep],0.320773963037165,0.5163749480529062,0.4245928338762215,0.4158523344191097,final ep,0.5,5.0,0.015927297091106962,0.018833763436814532,-0.004560260586319587
ECP d=0.5 lam=10 [best NLL],0.31734789699128596,0.5216963597671092,0.4224755700325737,0.3756786102062975,best NLL,0.5,10.0,0.012501231045227934,0.024155175151017505,-0.006677524429967385
ECP d=0.5 lam=10 [final ep],0.33816349655542605,0.5242744311105759,0.4247014115092287,0.41150922909880566,final ep,0.5,10.0,0.03331683060936802,0.026733246494484275,-0.004451682953312386
ECP d=0.5 lam=20 [best NLL],0.3285562890061963,0.5264229444838989,0.44082519001085796,0.3963083604777416,best NLL,0.5,20.0,0.023709623060138296,0.028881759867807277,0.011672095548316885
ECP d=0.5 lam=20 [final ep],0.34536319521830144,0.5451135180884844,0.45651465798045615,0.42779587404994573,final ep,0.5,20.0,0.04051652927224342,0.04757233347239276,0.027361563517915077
ECP d=1.0 lam=5 [best NLL],0.33063991807422716,0.5328147678799542,0.44022801302931547,0.4212812160694897,best NLL,1.0,5.0,0.02579325212816913,0.03527358326386254,0.011074918566774394
ECP d=1.0 lam=5 [final ep],0.3303795618098066,0.5339294574937735,0.4317046688382194,0.43322475570032576,final ep,1.0,5.0,0.025532895863748573,0.03638827287768187,0.0025515743756783227
ECP d=1.0 lam=10 [best NLL],0.3686809502660934,0.5644021341811548,0.46406080347448425,0.44842562432138977,best NLL,1.0,10.0,0.06383428432003535,0.06686094956506317,0.03490770901194318
ECP d=1.0 lam=10 [final ep],0.3977257970101808,0.5775197112347066,0.44999999999999957,0.4158523344191097,final ep,1.0,10.0,0.09287913106412277,0.07997852661861493,0.020846905537458493
ECP d=1.0 lam=20 [best NLL],0.41835526841638854,0.6227336715045227,0.4600434310532033,0.4777415852334419,best NLL,1.0,20.0,0.11350860247033051,0.1251924868884311,0.030890336590662204
ECP d=1.0 lam=20 [final ep],0.42607901671942794,0.6073116677643001,0.4517915309446255,0.46471226927252984,final ep,1.0,20.0,0.12123235077336991,0.10977048314820848,0.022638436482084412
