Model,ADE,FDE,ColRate_avg,ColRate_minADE,Checkpoint,loss_fn,d_min,lambda_col,ΔADE,ΔFDE,ΔColRate
Baseline,0.3053650556112913,0.5007898540498138,0.42535287730727445,0.38870792616720956,val_best,,,,0.0,0.0,0.0
HINGE d=0.2 lam=5 [best NLL],0.3193078139569231,0.5417816500262481,0.41085776330076,0.3745928338762215,best NLL,hinge,0.2,5.0,0.0139427583456318,0.04099179597643432,-0.014495114006514431
HINGE d=0.2 lam=5 [final ep],0.34939348040809887,0.5508861623452508,0.40825190010857776,0.4017372421281216,final ep,hinge,0.2,5.0,0.044028424796807575,0.050096308295436986,-0.017100977198696687
HINGE d=0.5 lam=5 [best NLL],0.3059162858633956,0.5130952263356613,0.40716612377850153,0.3572204125950054,best NLL,hinge,0.5,5.0,0.0005512302521042955,0.012305372285847493,-0.018186753528772914
HINGE d=0.5 lam=5 [final ep],0.35440322021757165,0.5555458981147656,0.42964169381107503,0.4180238870792617,final ep,hinge,0.5,5.0,0.049038164606280354,0.054756044064951825,0.004288816503800585
EXP d=0.2 lam=5 [best NLL],0.3145655347570015,0.5217781915882217,0.44647122692725255,0.41042345276872966,best NLL,exp,0.2,5.0,0.009200479145710205,0.020988337538407897,0.021118349619978105
EXP d=0.2 lam=5 [final ep],0.3069074059180765,0.504684055233325,0.4174267100977197,0.3735070575461455,final ep,exp,0.2,5.0,0.001542350306785234,0.0038942011835112478,-0.007926167209554746
EXP d=0.5 lam=5 [best NLL],0.3123501365673255,0.5120128182604166,0.432844733984799,0.41150922909880566,best NLL,exp,0.5,5.0,0.006985080956034229,0.01122296421060276,0.007491856677524555
EXP d=0.5 lam=5 [final ep],0.3086957157492661,0.503415016393914,0.4321932681867536,0.40716612377850164,final ep,exp,0.5,5.0,0.0033306601379747836,0.0026251623441001515,0.00684039087947913
GAUSS d=0.2 lam=5 [best NLL],0.3117040926116251,0.5232240949182009,0.41726384364820845,0.4191096634093377,best NLL,gauss,0.2,5.0,0.006339037000333836,0.02243424086838708,-0.008089033659065992
GAUSS d=0.2 lam=5 [final ep],0.2992953756245712,0.47677884967144596,0.4210097719869705,0.4147665580890337,final ep,gauss,0.2,5.0,-0.006069679986720089,-0.02401100437836784,-0.004343105320303964
GAUSS d=0.5 lam=5 [best NLL],0.3156399470823181,0.5221637879821315,0.4172638436482081,0.40825190010857765,best NLL,gauss,0.5,5.0,0.010274891471026781,0.02137393393231768,-0.008089033659066325
GAUSS d=0.5 lam=5 [final ep],0.3217391420887309,0.5121519518809016,0.41471226927252974,0.3745928338762215,final ep,gauss,0.5,5.0,0.016374086477439598,0.01136209783108777,-0.010640608034744703
INV d=0.2 lam=5 [best NLL],0.33445142436147507,0.5370876966750837,0.43919652551574373,0.4006514657980456,best NLL,inv,0.2,5.0,0.029086368750183778,0.036297842625269916,0.013843648208469284
INV d=0.2 lam=5 [final ep],0.43335195348494693,0.6378611749953444,0.4568946796959826,0.4560260586319218,final ep,inv,0.2,5.0,0.12798689787365564,0.13707132094553065,0.03154180238870813
INV d=0.5 lam=5 [best NLL],0.36167382124287506,0.5558316456106923,0.4087947882736153,0.41368078175895767,best NLL,inv,0.5,5.0,0.05630876563158377,0.05504179156087852,-0.01655808903365913
INV d=0.5 lam=5 [final ep],0.367273883540311,0.5521244176739029,0.41053203040173636,0.38762214983713356,final ep,inv,0.5,5.0,0.061908827929019694,0.05133456362408906,-0.014820846905538088
