Model,ADE,FDE,ColRate_avg,ColRate_minADE,Checkpoint,loss_fn,d_min,lambda_col,ΔADE,ΔFDE,ΔColRate
Baseline,0.30480628247931285,0.49665536784199665,0.4318675352877303,0.40716612377850164,val_best,,,,0.0,0.0,0.0
HINGE d=1.0 lam=5 [best NLL],0.30335489072453375,0.49811329485618266,0.42676438653637316,0.38979370249728557,best NLL,hinge,1.0,5.0,-0.0014513917547790967,0.0014579270141860112,-0.005103148751357145
HINGE d=1.0 lam=5 [final ep],0.31883882728510005,0.49803304047029373,0.4275787187839301,0.40390879478827363,final ep,hinge,1.0,5.0,0.014032544805787195,0.0013776726282970775,-0.004288816503800197
HINGE d=1.0 lam=10 [best NLL],0.32731073931560783,0.5604180549840659,0.41150922909880566,0.36590662323561346,best NLL,hinge,1.0,10.0,0.022504456836294984,0.06376268714206929,-0.020358306188924646
HINGE d=1.0 lam=10 [final ep],0.3228505390809578,0.5161470735069364,0.41813246471226956,0.38327904451682954,final ep,hinge,1.0,10.0,0.018044256601644937,0.019491705664939796,-0.01373507057546075
HINGE d=2.0 lam=5 [best NLL],0.38535438849039516,0.5366697460663068,0.4121606948968511,0.4516829533116178,best NLL,hinge,2.0,5.0,0.08054810601108231,0.04001437822431014,-0.01970684039087922
HINGE d=2.0 lam=5 [final ep],0.38604966341981417,0.5364464356892199,0.409934853420195,0.43539630836047777,final ep,hinge,2.0,5.0,0.08124338094050132,0.03979106784722325,-0.02193268186753533
HINGE d=2.0 lam=10 [best NLL],0.443947646670323,0.5738318055567414,0.36514657980456033,0.4505971769815418,best NLL,hinge,2.0,10.0,0.13914136419101014,0.07717643771474475,-0.06672095548316997
HINGE d=2.0 lam=10 [final ep],0.4811756422818454,0.6055857669259076,0.36286644951140096,0.44842562432138977,final ep,hinge,2.0,10.0,0.17636935980253254,0.10893039908391094,-0.06900108577632935
EXP d=1.0 lam=5 [best NLL],0.32416546758440196,0.5254473475472997,0.4277958740499458,0.41042345276872966,best NLL,exp,1.0,5.0,0.019359185105089105,0.02879197970530306,-0.0040716612377845185
EXP d=1.0 lam=5 [final ep],0.3281653713721886,0.5099730748860191,0.42187839305103214,0.3745928338762215,final ep,exp,1.0,5.0,0.023359088892875746,0.013317707044022409,-0.009989142236698167
EXP d=1.0 lam=10 [best NLL],0.3842325642669542,0.566248260656321,0.3995656894679694,0.4158523344191097,best NLL,exp,1.0,10.0,0.07942628178764133,0.06959289281432429,-0.03230184581976092
EXP d=1.0 lam=10 [final ep],0.4241619960259665,0.5957797227101895,0.3812703583061887,0.38870792616720956,final ep,exp,1.0,10.0,0.11935571354665364,0.09912435486819288,-0.05059717698154159
EXP d=2.0 lam=5 [best NLL],0.35195332160548964,0.5518395386034974,0.391639522258415,0.3583061889250814,best NLL,exp,2.0,5.0,0.04714703912617679,0.055184170761500784,-0.040228013029315335
EXP d=2.0 lam=5 [final ep],0.34933626401252915,0.5176295795652893,0.3764929424538552,0.3778501628664495,final ep,exp,2.0,5.0,0.0445299815332163,0.02097421172329267,-0.055374592833875136
EXP d=2.0 lam=10 [best NLL],0.42288791204860793,0.6185012549437064,0.4033116178067314,0.3995656894679696,best NLL,exp,2.0,10.0,0.11808162956929508,0.1218458871017098,-0.028555917480998894
EXP d=2.0 lam=10 [final ep],1.0872259525291068,1.2858124992959175,0.22519001085776333,0.27904451682953313,final ep,exp,2.0,10.0,0.782419670049794,0.7891571314539207,-0.20667752442996698
GAUSS d=1.0 lam=5 [best NLL],0.32225678782545253,0.4959097145688032,0.4272529858849076,0.4006514657980456,best NLL,gauss,1.0,5.0,0.017450505346139678,-0.0007456532731934806,-0.0046145494028226874
GAUSS d=1.0 lam=5 [final ep],0.37139354869375685,0.5458276553880094,0.4188925081433228,0.4158523344191097,final ep,gauss,1.0,5.0,0.066587266214444,0.049172287546012716,-0.012975027144407514
GAUSS d=1.0 lam=10 [best NLL],0.4424286209131342,0.6117824064520722,0.38555917480998875,0.3941368078175896,best NLL,gauss,1.0,10.0,0.13762233843382132,0.1151270386100755,-0.04630836047774156
GAUSS d=1.0 lam=10 [final ep],0.5703604712496416,0.7832923879413425,0.37627578718783933,0.4212812160694897,final ep,gauss,1.0,10.0,0.26555418877032877,0.28663702009934583,-0.05559174809989098
GAUSS d=2.0 lam=5 [best NLL],0.3351404050444148,0.4977460155666714,0.452931596091205,0.4234527687296417,best NLL,gauss,2.0,5.0,0.03033412256510193,0.0010906477246747648,0.02106406080347467
GAUSS d=2.0 lam=5 [final ep],0.5326840190123051,0.6723507992083048,0.381161780673181,0.43322475570032576,final ep,gauss,2.0,5.0,0.22787773653299226,0.1756954313663081,-0.05070575461454929
GAUSS d=2.0 lam=10 [best NLL],0.4870518862932884,0.7044663496935698,0.4314332247557002,0.44733984799131377,best NLL,gauss,2.0,10.0,0.18224560381397553,0.20781098185157315,-0.0004343105320301355
GAUSS d=2.0 lam=10 [final ep],2.1264616783009105,2.296416127852467,0.13838219326818674,0.18023887079261672,final ep,gauss,2.0,10.0,1.8216553958215975,1.7997607600104704,-0.29348534201954357
ECP d=1.0 lam=5 [best NLL],0.3280510982384319,0.500158683228648,0.430673181324647,0.43213897937024975,best NLL,ecp,1.0,5.0,0.023244815759119075,0.003503315386651329,-0.0011943539630833166
ECP d=1.0 lam=5 [final ep],0.3462833740987396,0.5358734017899449,0.4358849077090122,0.4191096634093377,final ep,ecp,1.0,5.0,0.041477091619426754,0.03921803394794826,0.004017372421281917
ECP d=1.0 lam=10 [best NLL],0.359330017132982,0.5262417642466469,0.4490770901194358,0.44733984799131377,best NLL,ecp,1.0,10.0,0.054523734653669165,0.029586396404650273,0.017209554831705498
ECP d=1.0 lam=10 [final ep],0.405767617468979,0.5748021976643499,0.4402823018458202,0.4375678610206297,final ep,ecp,1.0,10.0,0.10096133498966614,0.07814682982235327,0.00841476655808987
ECP d=2.0 lam=5 [best NLL],0.32991601327624104,0.5089351686884668,0.4070575461454939,0.3952225841476656,best NLL,ecp,2.0,5.0,0.025109730796928187,0.012279800846470124,-0.02480998914223642
ECP d=2.0 lam=5 [final ep],0.5268838674024415,0.6970691091437274,0.3920738327904453,0.4516829533116178,final ep,ecp,2.0,5.0,0.22207758492312868,0.20041374130173079,-0.03979370249728503
ECP d=2.0 lam=10 [best NLL],0.7086955512526372,0.8311215672695331,0.28854505971769867,0.35939196525515743,best NLL,ecp,2.0,10.0,0.4038892687733243,0.33446619942753647,-0.14332247557003164
ECP d=2.0 lam=10 [final ep],0.9400920535651099,1.0818172621705544,0.2420195439739415,0.30944625407166126,final ep,ecp,2.0,10.0,0.6352857710857971,0.5851618943285577,-0.18984799131378882
