model,dataset,scene_num,scene_idx,ped_id,obs_frame_start,obs_frame_end,pred_frame_start,pred_frame_end,all_frame_ids,n_peds,n_colliding_samples,best_sample_collides
hinge,univ,1,863,179,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,1,863,183,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,1,863,184,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,1,863,187,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,1,863,362,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,1,863,363,4380,4450,4460,4570,4380;4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570,6,9,1
hinge,univ,2,864,179,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,9,1
hinge,univ,2,864,187,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,9,1
hinge,univ,2,864,362,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,9,1
hinge,univ,2,864,363,4390,4460,4470,4580,4390;4400;4410;4420;4430;4440;4450;4460;4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580,4,9,1
hinge,univ,3,872,179,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,univ,3,872,189,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,univ,3,872,190,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,univ,3,872,191,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,univ,3,872,362,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,univ,3,872,363,4470,4540,4550,4660,4470;4480;4490;4500;4510;4520;4530;4540;4550;4560;4570;4580;4590;4600;4610;4620;4630;4640;4650;4660,6,4,1
hinge,zara2,1,10,1,110,180,190,300,110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300,2,5,1
hinge,zara2,1,10,2,110,180,190,300,110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300,2,5,1
hinge,zara2,2,11,1,120,190,200,310,120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310,2,6,1
hinge,zara2,2,11,2,120,190,200,310,120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310,2,6,1
hinge,zara2,3,15,1,160,230,240,350,160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350,2,5,1
hinge,zara2,3,15,2,160,230,240,350,160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350,2,5,1
